pregunta,a,b,c,d,correcta
¿Cuál es la subportadora de color en el sistema NTSC?,3.58 MHz,4.43 MHz,1.25 MHz,4.50 MHz,a
¿Qué parámetro define la eficiencia de una antena Log-Periódica?,ROE,Relación Delante/Atrás (F/B Ratio),Directividad,Todas las anteriores,d
¿Cuál es la ganancia típica de una antena DAT-45 de Televés?,12 dBi,17 dBi,22 dBi,25 dBi,b
¿Qué es el Ginga en el contexto de la TDA?,Un tipo de antena,El estándar de interactividad (Middleware),Un codec de video,Un satélite,b
¿Qué banda de frecuencia utiliza principalmente la TDA en Venezuela?,VHF Low,VHF High,UHF,Banda L,c
¿Qué tipo de entrelazado de datos se usa para combatir ráfagas de ruido en el tiempo?,Entrelazado de frecuencia,Entrelazado de tiempo,Entrelazado de bytes,No se usa entrelazado,b
¿Cuál es el valor de la frecuencia de la portadora de video en el canal 2 (VHF)?,54.00 MHz,55.25 MHz,59.75 MHz,61.25 MHz,b
¿Qué es la polarización circular en antenas?,Cuando el vector E gira 360 grados por ciclo,Cuando la antena es redonda,Cuando la señal solo viaja al norte,Cuando no hay polarización,a
¿Cuál es el beneficio de usar 64QAM frente a QPSK?,Mayor robustez al ruido,Mayor tasa de transferencia de datos,Menor ancho de banda,Mayor alcance,b
¿Qué tabla del MPEG-TS contiene los identificadores de los programas (PIDs)?,PAT,PMT,NIT,SDT,b
¿Qué es un SFN (Single Frequency Network)?,Una red donde todos los transmisores usan el mismo canal,Una red con una sola antena,Una red de radio AM,Una red de fibra óptica,a
¿Qué componente elimina las componentes de frecuencia no deseadas a la salida del transmisor?,Excitador,Filtro de Máscara,Amplificador,Modulador,b
¿Cuál es el nivel de señal mínimo recomendado (Threshold) para una recepción estable en TDA?,-50 dBm,-75 dBm,-93 dBm,-110 dBm,c
¿Qué es el Duty Cycle en una señal de pulso?,La relación entre el tiempo activo y el periodo total,La potencia del pulso,La frecuencia del pulso,La forma del pulso,a
¿Cuál es la impedancia característica estándar en sistemas de RF de TV?,50 Ohmios,75 Ohmios,120 Ohmios,300 Ohmios,b
¿Qué parámetro de la antena indica cuánta energía se refleja hacia el transmisor?,Ganancia,Apertura,ROE (VSWR),Lóbulos secundarios,c
¿Qué es el 'Shoulder Level' en un espectro OFDM?,La potencia del canal,La diferencia entre el nivel del canal y las espurias adyacentes,El ancho de banda,El nivel de ruido,b
¿Qué codificación de audio es el estándar para TDA en ISDB-Tb?,MP3,AAC / HE-AAC,AC3,DTS,b
¿Cuál es la función del bloque FEC (Forward Error Correction)?,Cifrar la señal,Detectar y corregir errores sin retransmisión,Comprimir el video,Modular la portadora,b
¿Cuántos segmentos (slots) componen un canal ISDB-Tb completo?,10,13,14,16,b
¿Qué es el Doppler shift?,Cambio de frecuencia por movimiento relativo,Un tipo de antena,Ruido de fase,Un filtro digital,a
¿Qué técnica de compresión de video utiliza la TDA en Venezuela?,MPEG-1,MPEG-2,H.264 (MPEG-4 AVC),AV1,c
¿Qué es una antena Yagi-Uda?,Una antena parabólica,Una antena de hilo,Una antena directiva con elementos parásitos,Una antena omnidireccional,c
¿Cuál es el ancho de banda efectivo de un segmento (One-Seg)?,~330 kHz,~428 kHz,~500 kHz,~1 MHz,b
¿Qué es la relación C/N?,Carrier to Noise Ratio,Channel to Network,Cable to Node,Constellation / Noise,a
¿Qué significa 'Simulcast'?,Transmitir en digital y analógico simultáneamente,Transmitir dos canales HD,Transmitir por radio y TV,Transmitir por satélite y cable,a
